label,text
"في انتظار السحب النقدي","ما هي مدة انتظار السحب النقدي؟"
"تحرير التفاصيل الشخصية","كيف يمكنني تغيير اسمي في ملفي الشخصي؟"
"سعر صرف خاطئ للسحب النقدي","عندما حصلت على النقد ، كان سعر الصرف الخاص بي خاطئا."
"تحصيل رسوم التحويل","لقد أجريت تحويلا ولم يستلم الشخص الذي قمت بتحويل الأموال إليه المبلغ الصحيح؟ لماذا حدث هذا وكيف أحصل على بقية الأموال لهم؟"
"حدود التعبئة","في حد للتعباي"
"تلقي مبلغ خاطئ من النقد","لم يخرج مبلغ المال الذي دفعته في آلة الصراف الآلي من الجهاز."
"البطاقة المفقودة أو المسروقة","شخص ما أخذ بطاقتي بدون إذني."
"ابتلاع البطاقة","ليش أكل الصراف الآلي بطاقة البنك تبعتي؟"
"لم يستلم المستلم التحويل","لماذا لا تظهر المعاملة للمستلم؟ ارسلت المال حالا"
"حدود التعبئة","في حد معين لعمليات التعبئة؟"
"تحصيل رسوم التحويل","أخبرني شخص ما كان علي إرسال الأموال إليه أنه لم يستلم المبلغ الكامل الذي أرسلته - هل يمكنك النظر في هذا؟"
"دعم البلد","هل يمكنني استخدامها في جميع أنحاء العالم؟"
"تعبئة الرصيد نقدًا أو بشيك","كيف يمكنني استخدام الشيك في زيادة الرصيد؟"
"طلب بطاقة فعلية","بصير أوخذ بطاقة شخصيا ؟"
"فيزا أو ماستر كارد","بزبط اختار بين الفيزا والماستر كارد؟"
"تلقي مبلغ خاطئ من النقد","ماذا يحصل اذا لم يكن المبلغ نفسه من الصراف الالي؟"
"تلقي مبلغ خاطئ من النقد","ليش ما أخدت إلا 20 دولار لما طلبت 100 دولار؟"
"المستفيد غير مسموح به","لقد كنت أحاول استبدال هذا بالعملات المشفرة ولكن التطبيق لا يعمل ، هل يمكنك مساعدتي؟"
"حدود التعبئة","ايش الحد الأقصى يلي بقدر أشحنه ؟"
"لماذا التحقق من الهوية","شو بفيد انو تطلبو اثبات الهوية؟"
"التعبئة عن طريق شحن البطاقة","كم بكلف اذا رجعت شحنت البطاقة الامريكية؟"
"حدود البطاقة التي يمكن التخلص منها","كم من بطاقة بقدر اعمل من اللي بتخلص منهن بعد ما استعملهن؟"
"المستفيد غير مسموح به","لماذا لا يمكنني استخدام هذا المستفيد؟"
"السحب النقدي غير معترف به","في سحب مصاري في بياني ما بعرفه"
"إعادة الشحن عن طريق رسوم التحويل المصرفي","في رسوم على استلام المصاري؟"
"ربط البطاقة","مرحبا ، لدي بطاقتي ، كيف يمكنني إظهارها في التطبيق؟"
"السحب النقدي غير معترف به","أرى مبالغ نقدية غير مستلمة في تطبيقي."
"الحصول على بطاقة افتراضية يمكن التخلص منها","من أين أطلب بطاقة افتراضية يمكن التخلص منها؟"
"تغيير رمز التعريف الشخصي","بأي طريقة يمكنني تغيير رقم التعريف الشخصي الخاص بي وأين أحتاج إلى أن أكون؟"
"حدود البطاقة التي يمكن التخلص منها","أحتاج إلى عدة بطاقات تستخدم ليوم واحد."
"إرجاع الدفع بالبطاقة؟","ليش التطبيق رجعلي دفعتي ؟"
"تلقي مبلغ خاطئ من النقد","لم أحصل إلا على بعض النقود التي طلبتها من جهاز الصراف الآلي"
"الدفع المباشر للدين غير معروف","تظهر دفعة الخصم المباشر التي لم أفعلها في تطبيقي"
"رسوم إضافية على كشف الحساب","في رسوم زيادة على بياني، ليش هيك؟"
"سعر الصرف","ما هي القيمة التي يمكنني الحصول عليها لعملتي؟"
"تم التحصيل مرتين","انخصم مني مصاري مرتين ببطاقة مكررة. شو أعمل؟"
"تفعيل بطاقتي","محتاج افعل بطاقتي"
"التعبئة عن طريق شحن البطاقة","هل ستكلفني رسوم شحن بطاقة أوروبية؟"
"تم التحصيل مرتين","المعاملات المكررة بتطلعلي عى حسابي"
"تعبئة تلقائية","هل استطيع القيام بعمليات التعبئة مسبقا؟"
"تفعيل بطاقتي","بدي افعل بطاقتي الجديدة."
"عادت تعبئة الرصيد","لقد مرت أسابيع قليلة فقط تم إلغاء تعبئة الرصيد"
"التعبئة عن طريق شحن البطاقة","هل هناك رسوم على عمليات التعبئة؟"
"تحرير التفاصيل الشخصية","أين يمكنني تعديل معلوماتي؟"
"لم يستلم المستلم التحويل","ما هي المدة التي تستغرقها عملية التحويل عادة؟ لقد أرسلت بعض المال إلى صديقة في وقت سابق اليوم ، وهي بحاجة إليه حقا. لا يزال تحويلا معلقا ، على الرغم من أنني أرسلته قبل بضع ساعات."
"إعادة الشحن عن طريق رسوم التحويل المصرفي","هل يمكنني إجراء تحويل سويفت؟"
"الدفع المباشر للدين غير معروف","ماذا أفعل إذا وجدت خصما أعلم أنني لم أفعله في كشف الفوترة الخاص بي؟"
"طلب بطاقة فعلية","بدي أطلب بطاقة"
"تحصيل رسوم التحويل","كيف يمكنني رؤية رسوم إضافية على التحويل الخاص بي؟"
"بطاقة على وشك الانتهاء","ما هي الخطوات التي يجب أن أتخذها قبل انتهاء صلاحية بطاقتي؟"
"تحصيل رسوم التحويل","هل تحويل الأموال له رسوم؟"
"انهاء حساب","بدي أحذف حسابي. شركتك سيئة كتير!"
"عادت تعبئة الرصيد","لو سمحت ليش رجع يعيد تعباية الرصيد؟"
"رسوم السحب النقدي","استعملت بطاقتي عشان أسحب مصاري بعدين انحط علي رسوم ما كان المفروض تكون علي"
"سعر صرف خاطئ للسحب النقدي","انا مش راظي عن سعر الصرف تاعك"
"تحقق من تعبئة الرصيد","وين رمز السحن تاعي ؟"
"فشل التعبئة","مرحبا ، أحاول شحن بطاقتي اليوم لكنها لم تنجح. عندما حاولت آخر مرة ، نجحت ولكن الأمر لم يعد كذلك اليوم. هل يمكنك إلقاء نظرة عليه من أجلي؟"
"السحب النقدي غير معترف به","ماذا أفعل إذا لم اتعرف على بسحب نقدي؟"
"تلقي مبلغ خاطئ من النقد","حصلت على مبلغ غلط."
"عادت تعبئة الرصيد","لماذا لم يعمل الشحن الخاص بي؟"
"فشل التعبئة","عملت تحويل بنكي لاعيد الشحن، بس المصاري مش متوفر"
"الحصول على بطاقة افتراضية","كيف اوخد بطاقة افتراضية؟"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","لقد أجريت تحويلا إلى حسابي ، لكنه لم يظهر"
"دعم البلد","هل يمكن للمقيمين في الولايات المتحدة الحصول على بطاقة؟"
"رفض السحب النقدي","حاولت الحصول على المال من أجهز الصراف الآلي ولم أستطع !"
"رسوم إضافية على كشف الحساب","في رسوم على بياني قيمتها دولار ونص بدون سبب. ممكن يكون في تفسير؟"
"نقل إلى الحساب","أحتاج إلى تحويل الأموال إلى هذا الحساب من حسابي المصرفي الآخر."
"تغيير رمز التعريف الشخصي","هل يمكنني تغيير رقم التعريف الشخصي الخاص بي في أجهزة الصراف الآلي؟"
"دعم البلد","أنا عايش في البرتغال . بتشتغل هون؟"
"في انتظار التعبئة","مرحبا ، لقد حاولت الشحن للمرة الأولى اليوم (أنا عميل جديد) ، وقد تم عرض المعاملة على أنها معلقة خلال النصف ساعة الماضية. يمكنك إصلاحه؟"
"لماذا التحقق من الهوية","عادي ادخل على حسابي هلا مع انو ما خلصت تحقيق هويتي؟"
"ابتلاع البطاقة","مش عارف أطلع بطاقتي من الصراف الآلي"
"التعبئة عن طريق شحن البطاقة","قديش معدل تكلفة الشحن الاضافي لاستخدام بطاقة في امريكا؟"
"غير قادر على التحقق من الهوية","بتقدر تساعدني حتى اثبت هويتي عندكم؟"
"حدود التعبئة","شو حد الشحن يلي الي ؟"
"تحصيل رسوم التحويل","حولت مصاري لشخص بس وصل المبلغ ناقص كيف بقدر أكملو باقي المبلغ ممكن تراجع المشكلة ؟"
"الحصول على بطاقة افتراضية","هل يمكنك مساعدتي في العثور على البطاقة الافتراضية؟"
"الحصول على بطاقة افتراضية يمكن التخلص منها","من وين اجيب بطاقة افتراضية ممكن التخلص منها؟"
"تم تحصيل رسوم الدفع بالبطاقة","من وينتا في رسوم على الحسابات؟ هلأ شفت رسوم في كشف حسابي."
"رسوم إضافية على كشف الحساب","ليش فرضوا علي دولار زيادة ؟"
"بطاقة مخترقة","يمكن نسرقت معلومات بطاقتي! ما بعرف من وين هالمعاملات وما زرت البلد اللي صارت فيها من قبل. احظروا البطاقة عشان ما يكملوا استخدامها"
"المستفيد غير مسموح به","مش فاهم ليش مش راضيين تقبلوا التحويل تبعي! بعد ما حاولت أكتر من مرة لسا بيوصلني مسج انه في خلل"
"الهاتف المفقود أو المسروق","حدا يساعدني، في حد سرقني امبارح واتاخد كلشي فبقدرش أستخدم التطبيق."
"آبل باي أو جوجل باي","جبت بطاقة أميركان اكسبريس تاعت آبل باي، ليش مش زابط أعبي رصيد في بلدي؟"
"رفض التحويل","تلقيت رسالة 'مرفوض' عند إجراء التحويل."
"إرجاع الدفع بالبطاقة؟","شكله رجع الي دفعتو ببطاقتي"
"الدفع بالبطاقة المعلق","ما هي المدة التي يستغرقها بالفعل دفع بطاقتي للوصول إلى الحساب؟ لقد سددت دفعة منذ يومين لكنها لم تتحرك منذ ذلك الحين."
"دعم البلد","بدي بطاقة مع إني مش ببريطانيا، بزبط؟"
"استرداد الأموال غير مرئي","يرجى إخباري بما إذا كنت قد تلقيت الأموال لاسترداد عملية الشراء الكبيرة التي قمت بها مؤخرا. لقد طلبت هذا من التاجر منذ أيام ولكن ما زلت لم أحصل على أي شيء."
"نقل إلى الحساب","كيف بقدر أشحن رصيدي؟"
"البطاقات والعملات المدعومة","بتقبل الماستركارد؟"
"انتظار التحويل","عملت تحويل لبلد تاني من اكم من يوم بس المعاملات لسا موقفة اتاكد انو معلومات الحسابات ادا صح. شو بتكون المشكلة؟"
"دعم البلد","أنا عايشة في البرتغال . بتشتغل هون؟"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","متى رح يصير في تغيير في رصيدي"
"آبل باي أو جوجل باي","كيف يمكنني الحصول على رصيد جوجل الخاص بي للعمل؟"
"التعبئة عن طريق شحن البطاقة","ما هي رسوم الشحن لجميع بطاقات الولايات المتحدة؟"
"تحرير التفاصيل الشخصية","تزوجت جديد وصار لازم اني أحدث إسمي"
"تقدير تسليم البطاقة","وينتا احسب حساب استلام بطاقتي؟"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","لهلقيت بستنى في التحويل تاعي"
"تلقي مبلغ خاطئ من النقد","الصراف الالي يعطي النقود بشكل غير صحيح، كيف يمكن حل ذلك؟"
"الدفع بالبطاقة غير معترف به","محتاج اعرف ايش هي الرسوم الموجودة بالحساب عندي، وكلهم انصرفو خلال كم يوم، بقدر ارجع المصاري يللي راحو؟ وكمان بدي اجمد بطاقتي!"
"تم رفض الدفع بالبطاقة","هل هناك سبب لرفض بطاقتي؟"
"تلقي مبلغ خاطئ من النقد","أين تذهب بقية أموالي من جهاز الصراف الآلي"
"وصول البطاقة","صرت باعت البطاقة ولا بعدك؟"
"قبول البطاقة","بتشتغل هاي البطاقة بكل العالم؟"
"فشل التعبئة","تم رفض تعبئة الرصيد الخاص بي من قبل أحد التطبيقات."
"دعم العملات الورقية","شو خيارات احفظ المصاري بعملات متنوعة ؟"
"تعبئة تلقائية","بقدر اعمل تعبئة تلقائية اذا ما معي مصاري كثير؟"
"بطاقة مخترقة","أظن أن هناك من يستخدم بطاقتي دون معرفتي بذلك!"
"رسوم إضافية على كشف الحساب","لا بد أنه كان هناك خطأ ، لما تم تغريمي ب1 جنيه إضافي؟"
"انتظار التحويل","ليش الدفعة لسا معلقة؟"
"تم رفض الدفع بالبطاقة","لماذا لم تنجح مدفوعاتي"
"التعبئة عن طريق شحن البطاقة","ما هي رسوم تعبئة البطاقة الأمريكية؟"
"تحرير التفاصيل الشخصية","بتقدر تحكيلي كيف بقدر اغير شوية من معلوماتي الشخصية؟"
"الهاتف المفقود أو المسروق","راح الجوال"
"تحرير التفاصيل الشخصية","التفاصيل بحاجة إلى تعديل"
"في انتظار التعبئة","هل يمكنك النظر في سبب ظهور آخر شحن لي على أنها معلق؟ اعتقدت أنها تظهر على الفور."
"سعر الصرف الخاطئ للدفع بالبطاقة","صار في تحصيل رسوم كثيرة مني بسبب اشي اشتريتو لما كنت برا ، وشكلو سعر الصرف غلط"
"تحصيل رسوم التحويل","عملت تحويل، و انخصمت مصاري مش لازم تنخصم!"
"حدود التعبئة","هل هناك حد لعمليات التعبئة التي يمكن لشخص ما القيام بها؟"
"فشل التعبئة","لا أعرف سبب رفض بطاقتي الائتمانية أثناء محاولتي إعادة التعبئة. هل كان هناك شيء من طرفي أم كان هناك خطأ ما في وظيفة زيادة الرصيد؟"
"البطاقة لا تعمل","مساعدة. بطاقتي مكسورة."
"رسوم الصرف","في اي رسوم اضافية مخفية لصرف العملات؟"
"تلقي الأموال","هل يمكنني استلام تحويلات من صاحب العمل إلى هذا الحساب؟"
"الهاتف المفقود أو المسروق","ما بعرف وين تلفوني"
"رفض السحب النقدي","ليش اجهزة الصراف الآلي ما بتعطيني مصاري؟"
"الحصول على بطاقة فعلية","أرني أين يمكنني رؤية رقم التعريف الشخصي؟"
"تحقق من تعبئة الرصيد","التحقق من بطاقات التعبئة ضرورية؟"
"لم يستلم المستلم التحويل","بعتت شوي مصاري لصديق من ساعتين، ولسا ما استلموها. هم عنجد بحاجة للمصاري، لإيمتى مضطرين يستنوا؟"
"تلقي مبلغ خاطئ من النقد","تم استلام مبلغ مالي غلط."
"دعم أجهزة الصراف الآلي","هل يمكن أن تخبرني عن أجهزة الصراف الآلي التي يمكنني استخدامها مع بطاقتي؟"
"رمز التعريف الشخصي محظور","انحظر رمز التعريف الشخصي تبعي"
"سعر الصرف","هل يوجد سعر صرف؟"
"تم رفض الدفع بالبطاقة","لماذا لا تقبل دفعتي؟ ما زلت أحاول باستخدام هذه البطاقة وهي لا تعمل."
"المستفيد غير مسموح به","التطبيق مش ساملحي أحول المصاري للمستفيد؟"
"طلب بطاقة فعلية","أين أجد طريقة الحصول على بطاقة فعلية؟"
"فيزا أو ماستر كارد","بقدر اخد فيزا وماستركارد منك؟"
"رمز التعريف الشخصي محظور","قفلت حسابي لحالي، كيف بقدر أفك هاد القفل لرمز التعريف الشخصي؟"
"فشل التحويل","جربت أعمل تحويل بس مش زابط"
"تم التحصيل مرتين","أشعر بالقلق من أنه يتم مضاعفة الرسوم الخاصة بي مقابل عدة عناصر تم شراؤها في الأسبوع الماضي. الرجاء مراجعة البيان الخاص بي وتصحيحه."
"تم التحصيل مرتين","عند مراجعة كشف حسابي، تبين أن لدي رسوم مكررة لنفس عملية الشراء في نفس الوقت ، والتي لم أقم بها مرتين؟ كيف يمكنني حل هذا؟"
"لم يستلم المستلم التحويل","ما هي المدة التي يجب أن أنتظرها حتى تكتمل معاملتي؟"
"تلقي الأموال","هل يسمح لي باستخدام عملات مختلفة؟"
"الدفع المباشر للدين غير معروف","في خصم مباشر مبين ما صرحت فيها"
"ربط البطاقة","بدي اشبك بطاقتي الجديدة، بتقدر تساعدني؟"
"تلقي مبلغ خاطئ من النقد","جربت اسحب من الصراف 30 جنيه بس ما اعطاني الا 10 جنيه وبدي اياهم هسا"
"الحصول على بطاقة افتراضية","أحب واحدة من البطاقات الافتراضية!"
"البطاقات والعملات المدعومة","هل يمكنك إخباري بالبطاقات والعملات المدعومة؟"
"تغيير رمز التعريف الشخصي","أحتاج إلى تغيير رقم التعريف الشخصي لبطاقتي."
"الحصول على بطاقة احتياطية","تطليع بطاقات زيادة مجاني؟"
"التعبئة عن طريق البطاقة","اختفت الأموال عندما حاولت استخدام بطاقتي لإعادة التعبئة."
"تم التحصيل مرتين","كيف يمكنني اصلاح هذا؟ هناك رسوم مضاعفة على حسابي."
"حدود البطاقة التي يمكن التخلص منها","بطاقة الاستعمال لمرة وحدة كم مرة بقدر استخدمها؟"
"ابتلاع البطاقة","شو اعمل ازا الصراف الآلي معلق؟"
"دعم العملات الورقية","احكيلي عن العملات يلي بتدعمها"
"استرداد الأموال غير مرئي","عم بستنى تبين فلوس راجعتلي عكشف حسابي بس لسا."
"تعبئة تلقائية","هل يمكنني إعداد حسابي لإعادة الشحن تلقائيا؟"
"انهاء حساب","أريد إغلاق حسابي ولن أتعامل معك مرة أخرى."
"الدفع المباشر للدين غير معروف","مش متعرف على معاملة الخصم هاي في كشف الحساب عندي"
"نقل إلى الحساب","من وين بقدر أعرف كيف أحول مصاري لحسابي؟"
"الحصول على بطاقة افتراضية","أحتاج بطاقتي الافتراضية"
"عادت تعبئة الرصيد","كيف يمكنني معرفة ما إذا تم إرجاع تعبئة الرصيد؟"
"استرداد الأموال غير مرئي","ما رجعولي المصاري يللي لازم اخدها"
"وصول البطاقة","هل هناك طريقة لتتبع تسليم بطاقتي؟"
"المستفيد غير مسموح به","مش مسموحلي احول لحساب تاني، ليش؟"
"رمز التعريف الشخصي محظور","احكيلي كيف بدي الغي حظر رمز التعريف الشخصي تبعي"
"البطاقة الافتراضية لا تعمل","بطاقتي الافتراضية بتشتغلش"
"تفعيل بطاقتي","شو الواحد بعمل عشان يفعل البطاقة الجديدة"
"انهاء حساب","احذف جميع معلومات حسابي وحسابي الآن."
"وصول البطاقة","ما زلت لم أحصل على بطاقتي الجديدة. متى ستصل هنا؟"
"وصول البطاقة","قديش بدها البطاقة تتنشحن؟"
"المستفيد غير مسموح به","لماذا لا يتمكن المستفيد الوصول لحسابي؟"
"رسوم الصرف","أردت أن أعرف ما هي الخصومات المقدمة للتبادلات الحالية لأنها شيء يحدث بشكل متكرر."
"تم رفض الدفع بالبطاقة","بطاقتي ما دخلت ، حكاتلي انو كلشي منيح"
"تم التحصيل مرتين","انتبهت انه تحصلت أكتر من مرة عمولة مقابل خدمة وحدة"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","لا يمكنني رؤية التحويل الذي أدخلته."
"فيزا أو ماستر كارد","متحمس يطلعلي بطاقة فيزا شو لازم اعمل؟"
"في انتظار التعبئة","لم يتم شحن رصيدي بعد."
"المستفيد غير مسموح به","ضروري أحول لحسابي بس مش زابط"
"نقل إلى الحساب","كيف اودع عن طريق التحويل المصرفي؟"
"تحقق من تعبئة الرصيد","كيف ممكن أشوف وضع بطاقتي؟"
"تحصيل رسوم التحويل","ليش في رسوم على التحويل ؟"
"تم التحصيل مرتين","حسابي موقف وبيوصله خصم غريب"
"الهاتف المفقود أو المسروق","احتاج المساعدة! ماذا أفعل لقد سرق هاتفي بالأمس؟"
"قبول البطاقة","بقدر ادفع بالطباقة باي مكان؟"
"رسوم إضافية على كشف الحساب","ما هي تكلفة 1 دولار في البيان الخاص بي؟"
"تعبئة الرصيد نقدًا أو بشيك","أحتاج إلى مساعدة هنا ، أحتاج إلى شحن النقود."
"تحقق من تعبئة الرصيد","شو الرمز تبع بطاقتي؟"
"تم تحصيل رسوم الدفع بالبطاقة","شريت بالبطاقة بس خصمو مني عشان استخدمتها ؟"
"الحصول على بطاقة افتراضية يمكن التخلص منها","البطاقات التي تستخدم لمرة واحدة ، ما الغرض منها؟"
"الدفع بالبطاقة غير معترف به","عندي عملية شرائ على بطاقتي لحدا ما بعرفو شو اعمل؟"
"عادت تعبئة الرصيد","لقد فقدت أموالي. لقد أضفت مؤخرا أموالا إلى الداخل ، ورأيتها موجودة ومضت. الآن هو مفقود. ماذا يحدث؟"
"ابتلاع البطاقة","اتاكل كرتي من الصراف، شو اسوي؟"
"بطاقة مخترقة","كيف بزبط أوقف التزوير لبطاقتي؟"
"حد السن","هل يمكن ذلك لاطفالي؟"
"عادت تعبئة الرصيد","مرحبا. حاولت إجراء عملية شحن رصيد واعتقدت أنها نجحت ، لكن الآن لم يعد المال في حسابي. هل يمكن ان توضح؟"
"الدفع بالبطاقة غير معترف به","كأنه في حد بيقدر يوصل لبطاقتي لانه في دفع بالبطاقة وانا ما عملته، ايش لاوم اعمل هلأ؟"
"رسوم السحب النقدي","اتحصل رسوم مني لما سحبت مصاري بس ما كان لازم يتحصل مني"
"الحصول على بطاقة احتياطية","في طريقة بقدر من خلالها اوخد كمان بطاقات عشان استخدمها مع حسابي؟"
"تعبئة الرصيد نقدًا أو بشيك","أريد عمل إيداع نقدي لإعادة الشحن. كيف أقوم بهذا العمل؟"
"الدفع بالبطاقة المعلق","ليش الدفع على بطاقتي لسا معلق"
"رسوم إضافية على كشف الحساب","ما هو سبب تكلفة 1 دولار في البيان الخاص بي؟"
"لم يتم تحديث الرصيد بعد الشيك أو الإيداع النقدي","عملت ايداع لمصاري في حسابي بس رصيدي مثل ما هو، شو اللي صار؟"
"رسوم الصرف","كديش بدفع مقابل صرف العملات المختلفة؟"
"حدود التعبئة","قديش حد العمليات التعبئه المسموحة لاي حدا؟"
"تم التحصيل مرتين","عندي دفعة متكررة على بطاقتي"
"دعم العملات الورقية","بتقدر تعملي تبادل باليورو؟"
"توقيت التحويل","بستنى التحويل تبعي، المفروض يبقى واصل صح؟"
"الحصول على بطاقة احتياطية","في طريقة تانية عشان أخد بطاقة تانية على نفس الحساب؟"
"تغيير رمز التعريف الشخصي","شو هي اجهزة الصراف الي بتسمحلي اغير رقمي التعريفي تاعي"
"التعبئة عن طريق البطاقة","حاولت زيادة الرصيد وفجأة اختفت أموالي"
"تحصيل رسوم التحويل","ليش بتوخدوا مني رسوم عالتحويل؟"
"الحصول على بطاقة فعلية","بخص الرقم السري تبع البطاقة؟"
"لماذا التحقق من الهوية","وينتا اسرع عملية التحقق من الهوية؟"
"في انتظار التعبئة","في عندي رصيد معلق وحابب اعرف عنو"
"تغيير رمز التعريف الشخصي","هل أحتاج إلى الذهاب إلى بنك مادي لتغيير رقم التعريف الشخصي الخاص بي؟"
"التحقق من مصدر الأموال","كيف يمكنني معرفة مكان تدفق الأموال؟"
"تم تحصيل رسوم الدفع بالبطاقة","لماذا توجد رسوم على بعض مدفوعاتي؟ أنا لا أفهم."
"ربط البطاقة","أملك بطاقة تم تعطيلها، هل بإمكاني إعادة تنشيطها؟"
"عادت تعبئة الرصيد","شكلو رصيدي رجع؟"
"سعر الصرف","كيف بتحدد سعر الصرف للعملات الاجنبية ؟"
"فشل التحويل","الرجاء المساعدة في نجاح التحويل"
"المستفيد غير مسموح به","فشل التحويل الخاص بي إلى حساب."
"الحصول على بطاقة افتراضية","أريد الحصول على بطاقة افتراضية!"
"الحصول على بطاقة احتياطية","محتاج بطاقة جديدة"
"لم يتم تحديث الرصيد بعد الشيك أو الإيداع النقدي","لماذا ما زلت غير قادر على رؤية الأموال التي أودعتها منذ أسبوع؟ هذا عاجل!!"
"ربط البطاقة","لو سمحت بدي اعيد تفعيل هالبطاقة بزبط؟"
"إلغاء التحويل","انا زعلان لاني عملت خطء وانا احول"
"فيزا أو ماستر كارد","بفضل ماستر كارد"
"المستفيد غير مسموح به","هل يمكن لأي شخص أن يشرح سبب تلقيي رسالة على شاشتي تفيد بأن عملية التحويل الخاصة بي غير ممكنة؟ لقد قمت بالعديد من التحويلات في الماضي ولم أواجه مشكلة واحدة حتى الآن. ماذا يحدث هنا؟"
"الحصول على بطاقة فعلية","هل يمكنك تسليم رقم التعريف الشخصي بشكل منفصل؟"
"الحصول على بطاقة فعلية","رقم التعريف الشخصي تبعي مسجل بكل مكان؟"
"الحصول على بطاقة احتياطية","في رسوم على إصدار بطاقات زيادة؟"
"رفض التحويل","لماذا يتم رفض تحويلاتي؟ لم يكن لدي مشكلة في الماضي."
"رسوم الصرف","بقدر يصحلي خصم على صرف العملات اللي بتكرر"
"رفض السحب النقدي","ما رضي يسحب مصاري لما حاولت، ليش؟"
"المستفيد غير مسموح به","ما قدرت احول مصاري للبنك اللي بتعامل معه، ليش هيك؟"
"الحصول على بطاقة فعلية","وديتوا الرقم السري في رسالة تانية؟"
"في انتظار السحب النقدي","كم من الوقت قبل أن أتمكن من رؤية إجراء السحب النقدي الخاص بي؟"
"تم تحصيل رسوم الدفع بالبطاقة","لماذا كانت هناك رسوم للدفع عن طريق البطاقة؟"
"السحب النقدي غير معترف به","كنت بتطلع على حسابي، ولقيت ابصر مين ساحب 500 دولار بطاقتي معي ساعدني لو سمحت."
"لم يتم تحديث الرصيد بعد الشيك أو الإيداع النقدي","وينتا بنزلو المصاري على حسابي؟"
"تقدير تسليم البطاقة","كم وقت بدها البطاقة لتوصل هون؟"
"آبل باي أو جوجل باي","مسموح تعبئة رصيد جوجل باي."
"التعبئة عن طريق البطاقة","التعبئة مش موجودة في محفظتي"
"عادت تعبئة الرصيد","لقد اختفت أموالي. لقد أضفت مؤخرا أموالا إلى الداخل ، ورأيتها موجودة ومضت. الآن ذهب. ماذا يحدث؟"
"تم رفض الدفع بالبطاقة","جربت استخدم بطاقتي في متجر معين بس انرفضت المعاملة"
"المستفيد غير مسموح به","أثناء تحويل الأموال ، يحدث خطأ في الخروج لأن التحويل الخاص بي غير ممكن. الرجاء مساعدتي في هذا لأنني تمكنت سابقا من القيام بذلك بنجاح."
"تحرير التفاصيل الشخصية","كيف أقوم بتعديل بياناتي؟"
"السحب النقدي غير معترف به","بعض عمليات السحب يلي ما عملتها انا بينت بالتطبيق."
"تم التحصيل مرتين","شكلي دفعت مرتين"
"تحصيل رسوم التحويل","لماذا أضيفت رسوم إضافية على حسابي للتحويل؟"
"تم التحصيل مرتين","خصم علي مرتين على اشي واحد"
"طلب استرداد","كيف أطلب استرداد؟"
"تفعيل بطاقتي","أخطط لتفعيل بطاقتي هل كان ذلك ممكنا؟"
"تقدير تسليم البطاقة","وينتا ممكن أتوقع بطاقتي توصل؟"
"رسوم إضافية على كشف الحساب","لحد هلا ما رجعلي 1 دولار زي ما هو مبين في الإيميل."
"لم يتم تحديث الرصيد بعد التحويل المصرفي","حولت مصاري من جديد، بس الرصيد ضل متل ما هو!"
"تحصيل رسوم التحويل","هل هناك رسوم تحويل الأموال؟"
"تفعيل بطاقتي","مش سامحينلي افعل بطاقتي"
"المستفيد غير مسموح به","بدي أعرف شو السبب اللي بخليكم ما تسمحوا في المستفيد تاعي؟"
"تم التحصيل مرتين","كيف بيتكرر الخصم على البطاقة ؟"
"انهاء حساب","كيف يمكنني حذف حسابي الآن"
"فشل التحويل","أنا في منتصف عملية شراء شقة. أحتاج إلى المال لأداء دفعة الرهن العقاري الأولى ولن يتم ذلك. ما زلت أتلقى خطأ. هل يمكنك معرفة ما يحدث ومساعدتي في إكمال هذا التحويل؟"
"الحصول على بطاقة افتراضية","أحتاج إلى طلب بطاقة جديدة ، هل يمكنك توجيهي إلى البطاقات الافتراضية؟"
"آبل باي أو جوجل باي","بقدر استخدم ساعتي ال ابل لاملي خزاني الغاز؟"
"لم يستلم المستلم التحويل","كيف بقدر أفرجي معاملاتي المالية لهاد الشخص؟"
"تحقق من تعبئة الرصيد","كيف أجد الكود للتحقق من بطاقة الشحن؟"
"إرجاع الدفع بالبطاقة؟","مرحبا.جربت اشتري عن طريق النت بس مش زابط في مشكلة بالبطاقة ممكن تحلوها الي اسبوعين بجرب"
رفض التحويل,"تعذر إكمال النقل ، يصرح 'مرفوض'."
"تلقي مبلغ خاطئ من النقد","يظهر جهاز الصراف الآلي سحب مبلغ المال الذي طلبته ولكني لم أسترجع هذا المبلغ نقدا."
"فشل التحويل","ما الذي يمكن أن يكون سبب فشل التحويل الخاص بي؟"
"حدود البطاقة التي يمكن التخلص منها","البطاقة اللي بس نستعملها بنقدر ارميها شو اكتر عدد بقدر اعملو من معاملات لو بدي استخدم هاي البطاقة؟"
"رسوم الصرف","بتقدر تساعدني بمعرفة رسوم الصرف؟"
"تقدير تسليم البطاقة","هل ستكون بطاقتي هنا قريبا؟"
"البطاقات والعملات المدعومة","كيف يمكنني تعبئة بطاقتي باستخدام بطاقة أخرى؟"
"سعر صرف خاطئ للسحب النقدي","تم وضع أسعار العملات الأجنبية بشكل خاطئ في ماكينة الصراف الآلي التي استخدمتها."
"طلب بطاقة فعلية","ممكن أطلب كرت صراف ؟"
